"filename", "language", "Markdown", "TOML", "JSON", "YAML", "JSON with Comments", "Rust", "TypeScript", "HTML", "JavaScript JSX", "Svelte", "comment", "blank", "total"
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\export_events.rs", "Rust", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\export_volunteers.rs", "Rust", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\mod.rs", "Rust", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 2, 58
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\moderate_event.rs", "Rust", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 16, 87
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\moderate_event_registration.rs", "Rust", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 18, 103
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\moderate_user.rs", "Rust", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 17, 88
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_comment.rs", "Rust", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_event.rs", "Rust", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 16, 75
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_post.rs", "Rust", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_reaction.rs", "Rust", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 12, 63
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\sign_in.rs", "Rust", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 13, 79
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\sign_up.rs", "Rust", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 19, 82
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\subscribe_to_event.rs", "Rust", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 18, 89
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\unsubscribe_from_event.rs", "Rust", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 14, 67
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\update_comment.rs", "Rust", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 18, 83
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\update_event.rs", "Rust", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 23, 112
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\update_post.rs", "Rust", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 19, 90
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_channel.rs", "Rust", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 14, 100
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_history.rs", "Rust", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 12, 70
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_recommendation.rs", "Rust", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_volunteers.rs", "Rust", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 12, 70
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_events.rs", "Rust", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 10, 66
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_post.rs", "Rust", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 11, 93
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_published_events.rs", "Rust", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 10, 66
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_users.rs", "Rust", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 10, 61
"d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\root\dev\js\volunteer-hub\backend\infrastructures\Cargo.toml", "TOML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 37
"d:\root\dev\js\volunteer-hub\backend\infrastructures\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 3, 51, 239
"d:\root\dev\js\volunteer-hub\deno.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\root\dev\js\volunteer-hub\deno.lock", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\README.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 42
