Date : 2025-12-02 22:13:04
Directory : d:\root\dev\js\volunteer-hub
Total : 110 files,  9820 codes, 228 comments, 1647 blanks, all 11695 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\root\dev\js\volunteer-hub\backend\bindings\wasm-bindings\src\lib.rs                             | Rust               |        139 |          5 |         23 |        167 |
| d:\root\dev\js\volunteer-hub\backend\core\domain\Cargo.toml                                        | TOML               |         16 |          0 |          4 |         20 |
| d:\root\dev\js\volunteer-hub\backend\core\domain\src\lib.rs                                        | Rust               |        205 |         10 |         35 |        250 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\Cargo.toml                                     | TOML               |         26 |          0 |          6 |         32 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\create_comment.rs               | Rust               |         77 |          0 |         17 |         94 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\create_event.rs                 | Rust               |         88 |          0 |         18 |        106 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\create_post.rs                  | Rust               |         82 |          0 |         18 |        100 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\create_reaction.rs              | Rust               |         74 |          0 |         16 |         90 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\export_events.rs                | Rust               |        106 |          1 |         16 |        123 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\export_volunteers.rs            | Rust               |        106 |          1 |         16 |        123 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\mod.rs                          | Rust               |         79 |          0 |          3 |         82 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\moderate_event.rs               | Rust               |        106 |          0 |         18 |        124 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\moderate_event_registration.rs  | Rust               |        111 |          0 |         19 |        130 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\moderate_user.rs                | Rust               |        107 |          0 |         18 |        125 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\remove_comment.rs               | Rust               |         74 |          0 |         16 |         90 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\remove_event.rs                 | Rust               |         95 |          0 |         18 |        113 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\remove_post.rs                  | Rust               |         74 |          0 |         16 |         90 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\remove_reaction.rs              | Rust               |         76 |          0 |         17 |         93 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\sign_in.rs                      | Rust               |         81 |          0 |         13 |         94 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\sign_up.rs                      | Rust               |         79 |          0 |         16 |         95 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\subscribe_to_event.rs           | Rust               |        100 |          0 |         18 |        118 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\unsubscribe_from_event.rs       | Rust               |        100 |          0 |         18 |        118 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\update_comment.rs               | Rust               |         79 |          0 |         17 |         96 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\update_event.rs                 | Rust               |        117 |          0 |         23 |        140 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\update_post.rs                  | Rust               |         84 |          0 |         19 |        103 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_event_channel.rs           | Rust               |        142 |          0 |         24 |        166 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_event_history.rs           | Rust               |        148 |          0 |         20 |        168 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_event_recommendation.rs    | Rust               |        101 |          0 |         16 |        117 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_event_volunteers.rs        | Rust               |        148 |          0 |         21 |        169 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_events.rs                  | Rust               |        177 |          0 |         24 |        201 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_post.rs                    | Rust               |        161 |          0 |         27 |        188 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_published_events.rs        | Rust               |        156 |          0 |         21 |        177 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\boundaries\view_users.rs                   | Rust               |        178 |          0 |         25 |        203 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\gateways.rs                                | Rust               |        353 |          0 |         80 |        433 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\create_comment.rs              | Rust               |         67 |          0 |         18 |         85 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\create_event.rs                | Rust               |         73 |          0 |         19 |         92 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\create_post.rs                 | Rust               |         80 |          0 |         19 |         99 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\create_reaction.rs             | Rust               |         59 |          0 |         14 |         73 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\export_events.rs               | Rust               |         37 |          0 |          8 |         45 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\export_volunteers.rs           | Rust               |         37 |          0 |          8 |         45 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\mod.rs                         | Rust               |         56 |          0 |          2 |         58 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\moderate_event.rs              | Rust               |         71 |          0 |         16 |         87 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\moderate_event_registration.rs | Rust               |         85 |          0 |         18 |        103 |
